track_name,stem_id,instrument,role,bpm,polyphony_score,dynamics_score,new_role,classification_reason,old_role
Track00010,S00,Electric Bass (finger),Bass,101.35,1.7978134155273438,0.294753432168425,Bass,List Match,Bass
Track00010,S01,Acoustic Guitar (steel),Harmony,101.35,1.9540574550628664,0.4195513261300447,Harmony,Ranked Harmony,Lead
Track00010,S02,Acoustic Guitar (steel),Lead,101.35,1.855543851852417,0.5474720324743293,Lead,Top 2/5 Poly,Lead
Track00010,S03,Pad 7 (halo),Harmony,101.35,1.9867839813232424,0.3807802182963731,Harmony,Ranked Harmony,Harmony
Track00010,S04,Pad 7 (halo),Lead,101.35,1.8764805793762207,0.3401488188203343,Lead,Top 2/5 Poly,Harmony
Track00010,S05,Honky-tonk Piano,Harmony,101.35,1.9416587352752688,0.5479459516058146,Harmony,Ranked Harmony,Lead
Track00010,S06,Drums,Drums,101.35,2.422935009002685,0.6049100338293841,Drums,List Match,Drums
Track00008,S00,Fretless Bass,Bass,127.12,1.2908196449279783,0.3308222448986284,Bass,List Match,Bass
Track00008,S01,Drums,Drums,127.12,2.3927502632141118,0.6637484729472981,Drums,List Match,Drums
Track00008,S02,Electric Piano 2,Harmony,127.12,1.6570188999176023,0.2150370278521248,Harmony,Ranked Harmony,Harmony
Track00008,S03,Electric Guitar (clean),Lead,127.12,1.429125428199768,0.2423720855114937,Lead,Top 2/5 Poly,Lead
Track00008,S04,String Ensemble 2,Harmony,127.12,2.018095016479492,0.3195725682082257,Harmony,Ranked Harmony,Lead
Track00008,S05,Acoustic Grand Piano,Harmony,127.12,2.0444226264953613,0.3606282273383198,Harmony,Ranked Harmony,Harmony
Track00008,S06,Pad 4 (choir),Lead,127.12,1.33627450466156,0.5100288856962584,Lead,Top 2/5 Poly,Lead
Track00003,S00,Bright Acoustic Piano,Harmony,150.0,2.2000842094421387,0.3693367382480926,Harmony,Ranked Harmony,Lead
Track00003,S01,Electric Bass (pick),Bass,150.0,1.9970308542251587,0.1604802901459357,Bass,List Match,Bass
